¿ªÊ¼Óï·¨·ÖÎö: 
Õ»                  ÊäÈë´®                                                                                              ¶¯×÷                          
# A } F ; K' KA' KB' ¦Å        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA' KB'        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB' -> ¦Å 
# A } F ; K' KA' ¦Å        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA'        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA' -> ¦Å 
# A } F ; K' ¦Å        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K'        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K' -> ¦Å 
# A } F ; ¦Å        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ;        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä ;
# A } F        public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        F -> I F 
# A } F I        public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        I -> L J I' 
# A } F I' J L        public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        L -> public 
# A } F I' J public        public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä public
# A } F I' J        void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        J -> void 
# A } F I' void        void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä void
# A } F I'        fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        I' -> ID ( M ) N 
# A } F N ) M ( ID        fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> fun 
# A } F N ) M ( fun        fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä fun
# A } F N ) M (        ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä (
# A } F N ) M        ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        M -> ¦Å 
# A } F N ) ¦Å        ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F N )        ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä )
# A } F N        { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        N -> { P } 
# A } F } P {        { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä {
# A } F } P        if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        P -> R P 
# A } F } P R        if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        R -> T 
# A } F } P T        if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        T -> if ( K ) N else N 
# A } F } P N else N ) K ( if        if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä if
# A } F } P N else N ) K (        ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä (
# A } F } P N else N ) K        a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K -> KA K' 
# A } F } P N else N ) K' KA        a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA -> KB KA' 
# A } F } P N else N ) K' KA' KB        a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB -> KC KB' 
# A } F } P N else N ) K' KA' KB' KC        a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC -> KD KC' 
# A } F } P N else N ) K' KA' KB' KC' KD        a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD -> KE KD' 
# A } F } P N else N ) K' KA' KB' KC' KD' KE        a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE -> O KE' 
# A } F } P N else N ) K' KA' KB' KC' KD' KE' O        a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O -> Q O' 
# A } F } P N else N ) K' KA' KB' KC' KD' KE' O' Q        a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q -> ID 
# A } F } P N else N ) K' KA' KB' KC' KD' KE' O' ID        a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> a 
# A } F } P N else N ) K' KA' KB' KC' KD' KE' O' a        a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä a
# A } F } P N else N ) K' KA' KB' KC' KD' KE' O'        > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O' -> ¦Å 
# A } F } P N else N ) K' KA' KB' KC' KD' KE' ¦Å        > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else N ) K' KA' KB' KC' KD' KE'        > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE' -> ¦Å 
# A } F } P N else N ) K' KA' KB' KC' KD' ¦Å        > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else N ) K' KA' KB' KC' KD'        > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD' -> > KE 
# A } F } P N else N ) K' KA' KB' KC' KE >        > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä >
# A } F } P N else N ) K' KA' KB' KC' KE        b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE -> O KE' 
# A } F } P N else N ) K' KA' KB' KC' KE' O        b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O -> Q O' 
# A } F } P N else N ) K' KA' KB' KC' KE' O' Q        b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q -> ID 
# A } F } P N else N ) K' KA' KB' KC' KE' O' ID        b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> b 
# A } F } P N else N ) K' KA' KB' KC' KE' O' b        b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä b
# A } F } P N else N ) K' KA' KB' KC' KE' O'        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O' -> ¦Å 
# A } F } P N else N ) K' KA' KB' KC' KE' ¦Å        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else N ) K' KA' KB' KC' KE'        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE' -> ¦Å 
# A } F } P N else N ) K' KA' KB' KC' ¦Å        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else N ) K' KA' KB' KC'        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC' -> ¦Å 
# A } F } P N else N ) K' KA' KB' ¦Å        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else N ) K' KA' KB'        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB' -> ¦Å 
# A } F } P N else N ) K' KA' ¦Å        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else N ) K' KA'        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA' -> ¦Å 
# A } F } P N else N ) K' ¦Å        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else N ) K'        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K' -> ¦Å 
# A } F } P N else N ) ¦Å        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else N )        ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä )
# A } F } P N else N        { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        N -> { P } 
# A } F } P N else } P {        { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä {
# A } F } P N else } P        b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        P -> R P 
# A } F } P N else } P R        b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        R -> S 
# A } F } P N else } P S        b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        S -> ID S' 
# A } F } P N else } P S' ID        b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> b 
# A } F } P N else } P S' b        b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä b
# A } F } P N else } P S'        = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        S' -> = K ; 
# A } F } P N else } P ; K =        = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä =
# A } F } P N else } P ; K        a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K -> KA K' 
# A } F } P N else } P ; K' KA        a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA -> KB KA' 
# A } F } P N else } P ; K' KA' KB        a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB -> KC KB' 
# A } F } P N else } P ; K' KA' KB' KC        a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC -> KD KC' 
# A } F } P N else } P ; K' KA' KB' KC' KD        a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD -> KE KD' 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE        a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE -> O KE' 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' O        a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O -> Q O' 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' O' Q        a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q -> ID 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' O' ID        a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> a 
